provincia;departamento;sector;ambito;Localizacion;ElectricidadSi;ElectricidadRedpública;ElectricidadGrupoelectrógeno;ElectricidadPanelfotovoltaicosolar;ElectricidadGeneradoreólico;ElectricidadGeneradorhidráulico;ElectricidadOtro;EquipamientoEstablecimientoTelevisor;EquipamientoEstablecimientoSistemamultimediaoCañón;EquipamientoEstablecimientoScanner;EquipamientoEstablecimientoWebcam;EquipamientoEstablecimientoReproductordeCD;EquipamientoEstablecimientoReproductordeDVD;EquipamientoEstablecimientoImpresora;EquipamientoEstablecimientoEquipoemisorderadioAMFM;EquipamientoEstablecimientoEquiporeceptorderadioAMFM;EquipamientoEstablecimientoServidorparausoescolar;EquipamientoEstablecimientoImpresora3D;EquipamientoEstablecimientoEquipodeSonido;EquipamientoEstablecimientoPizarrasdigitales;EquipamientoBibliotecaTelevisor;EquipamientoBibliotecaSistemamultimediaoCañón;EquipamientoBibliotecaScanner;EquipamientoBibliotecaEquipamientoBibliotecaWebcam;EquipamientoBibliotecaReproductordeCD;EquipamientoBibliotecaReproductordeDVD;EquipamientoBibliotecaImpresora;EquipamientoBibliotecaEquipoemisorderadioAMFM;EquipamientoBibliotecaEquiporeceptorderadioAMFM;EquipamientoBibliotecaServidorparausoescolar;InternetTipodeservicioGratuito;InternetTipodeservicioPago;InternetTipodeconexiónTelefónica;InternetTipodeconexiónADSL;InternetTipodeconexiónCableMódem;InternetTipodeconexiónSatelital;InternetTipodeconexiónOtroTipo;InternetTipodeconexiónMóvil;EspaciosconconexiónEneláreadeadministración;EspaciosconconexiónEnlasaulas;EspaciosconconexiónEnlabibliotecas;EspaciosconconexiónEnotroespaciodelestablecimiento;EspaciosconconexiónEnellaboratorio;CooperadoraConpersoneríajurídica;CooperadoraSinpersoneríajurídica;CooperadoraNo;SistemadeGestiónEscolarSi;SistemadeGestiónEscolarProvistoporelMinisterio;SistemadeGestiónEscolarDesarrolladoporterceros;SistemadeGestiónEscolarEncargadoporelEstablecimiento;SistemadeGestiónEscolarPlanilladeCalculo;DisponedesalaolaboratoriodeinformáticaSi;LaboratorioFuncionaesespacioexclusivoSi;BibliotecaDisponedealmenosunaSi;BibliotecaFuncionaesespacioexclusivoSi;SubvenciónEstatalJardínMaternalSi;SubvenciónEstatalJardíndeInfantesSi;SubvenciónEstatalPrimariaSi;SubvenciónEstatalSecundariaSi;SubvenciónEstatalSNUSi
Buenos Aires;SAN PEDRO;Estatal;Rural;40;38;38; ; ; ; ; ;31;27;14;6;23;21;32;21; ;12;1;26;16; ;2;1; ;1; ;2;1; ; ;4;6;3; ;5;2; ; ;9;3; ; ; ;20;14;4;6;5; ; ;1;8; ;19;7; ; ; ; ; 
Buenos Aires;SAN PEDRO;Estatal;Urbano;47;45;45; ;1; ; ; ;38;32;14;7;40;38;42;26; ;21;4;38;4;14;7;2; ;10;9;5;7; ;4;19;14;14;5;12;2;1;1;32;2;6;4;1;22;11;9;19;16; ; ;3;9;5;42;30; ; ; ; ; 
Buenos Aires;SAN PEDRO;Privado;Urbano;13;11;11;1; ; ; ; ;7;10;6;3;12;10;12;7; ;6; ;11; ;2;1;1; ;3;3;3;2; ;1;1;11;3;3;7; ; ;2;12;5;4;5;5; ; ;10;5;5; ; ; ;6;4;9;6; ;3;4;4;1
Buenos Aires;SAN VICENTE;Estatal;Rural;9;9;9; ; ; ; ; ;8;6;2; ;6;7;5;1; ;2; ;5; ;1;1; ; ; ; ; ; ; ; ; ;2; ; ;1;1; ; ;2; ; ; ; ;4;3;1;3;2; ; ;1;3;2;5;2; ; ; ; ; 
Buenos Aires;SAN VICENTE;Estatal;Urbano;47;47;47; ; ; ; ; ;41;27;12;5;27;33;36;17; ;20;2;34;6;20;12;1; ;12;16;6;5; ;6;30;4;7;2;22;3;5; ;33;9;13;6;6;32;7;8;26;23; ; ;3;14;6;41;29; ; ; ; ; 
Buenos Aires;SAN VICENTE;Privado;Urbano;14;11;11;3; ; ; ; ;11;10;6;4;11;11;11;6; ;4;1;11;1;1;1; ; ;1;1;1;1; ; ; ;11;5;2;6; ; ; ;11;4;1;3;5;1; ;10;8;5;1;1;1;6;6;9;6; ;2;2;4; 
Buenos Aires;SUIPACHA;Estatal;Rural;18;17;15; ; ; ; ;2;11;10;5; ;10;8;13;5; ;4; ;10;9;1;2; ; ;1;1;1;1; ;1;10;1;1; ;3;3;4; ;5;9;1;2; ;9;4;4;2;2; ; ; ;6;3;14;4; ; ; ; ; 
Buenos Aires;SUIPACHA;Estatal;Urbano;12;12;12; ; ; ; ; ;6;5;1;2;9;7;8;4; ;4;1;9;3;1; ; ; ;1;1; ; ; ;1;9; ;1;1;4; ;3; ;8;4;2;4;1;6;2;4;4;3; ;1; ;3;3;9;6; ; ; ; ; 
Buenos Aires;SUIPACHA;Privado;Urbano;5;5;5; ; ; ; ; ;2;5;4;2;4;5;5;4; ;4; ;5;2; ;3;1;2;4;2;2;4; ;2;5; ; ;2;3; ; ; ;5;2;5;3;4; ;2;3;2; ;2; ; ;4;4;5;5; ; ;2;2; 
Buenos Aires;TANDIL;Estatal;Rural;47;45;41; ;1; ; ;4;35;31;20;15;28;24;34;22; ;28;4;35;14;8;6;3;2;7;7;5;3; ;4;37; ;2;2;14;16;6; ;27;28;10;11;9;29;7;9;14;9; ; ;5;19;11;40;15; ; ; ; ; 
Buenos Aires;TANDIL;Estatal;Urbano;78;76;76; ; ; ; ; ;64;65;47;15;55;62;71;39; ;49;5;65;9;28;15;9;4;15;17;18;9; ;14;72;3;14;10;34;19;8;4;71;37;36;32;24;38;24;13;42;32;4; ;6;35;16;72;46; ; ; ; ; 
Buenos Aires;TANDIL;Privado;Urbano;48;47;47; ; ; ; ; ;40;36;36;22;44;38;47;32; ;23;2;45;5;10;5;4;2;9;8;7;4; ;6;1;46;21;4;29;1; ;1;47;31;21;27;22; ; ;46;26;11;5;9;1;27;22;40;26;2;8;5;4;2
Buenos Aires;TAPALQUE;Estatal;Rural;27;27;20;1;8; ; ; ;20;17;9;3;17;17;22;12; ;9; ;5;10;5;2;2;1;3;3;4;2; ; ;8;1; ; ;3;2;1;3;7;3;3;1;1;20; ;7;3;1; ; ;2;4; ;17;7; ; ; ; ; 
Buenos Aires;TAPALQUE;Estatal;Urbano;13;12;12; ; ; ; ; ;8;6;5;4;9;8;9;8; ;6; ;7;3;6;5;2;2;6;4;4;5; ;4;4;5;1;1;2;2;2;2;8;2;5; ;1;9;1;3;7;5; ; ;2;3;2;11;7; ; ; ; ; 
Buenos Aires;TIGRE;Estatal;Rural;12;8;8; ; ; ; ; ;7;2;3; ;4;5;7;2; ;2; ;5;1;1;1; ; ;1;1;1; ; ; ;2; ; ; ; ;2; ; ;2;1; ;1; ;3;3;2;3;3; ; ; ;3;1;5;2; ; ; ; ; 
Buenos Aires;TIGRE;Estatal;Urbano;156;132;132; ; ; ; ; ;101;79;37;15;85;78;115;48; ;61;6;108;14;34;21;3;3;17;20;10;3; ;11;84;9;29;7;54;3;4;1;92;16;10;6;6;75;32;23;65;49;4;1;11;41;25;119;77; ; ; ; ; 
Buenos Aires;TIGRE;Privado;Urbano;169;164;164;8;1; ; ; ;141;142;117;78;143;131;158;73; ;93;10;153;42;33;38;22;23;45;45;32;16; ;34;4;154;32;28;95;15;7;9;158;97;65;103;88; ; ;145;83;30;37;13;3;108;92;118;78;7;38;22;24;1
Buenos Aires;TORDILLO;Estatal;Rural;10;10;9;1;1; ; ; ;8;7;4;4;5;6;8;5; ;4; ;5;1;2;3;1;1;1;3;2;1; ;1;5;2; ; ;1;5;1;1;5;2; ;2;3;5;1;4;1;1; ; ; ;4;2;8;4; ; ; ; ; 
Buenos Aires;TORNQUIST;Estatal;Rural;28;26;26;1; ; ; ; ;17;19;12;4;19;10;23;13; ;11;1;15;12;1;1;1; ;1; ;1; ; ;1;16;2;2;3;4;4;4;1;8;14;3;4;2;18;7;1;15;14; ; ;1;5; ;17;3; ; ; ; ; 
Buenos Aires;TORNQUIST;Estatal;Urbano;16;15;15; ; ; ; ; ;13;12;8;2;13;12;13;7; ;8;1;12;3;5;2;3;1;6;6;4;2; ;3;10;2;1; ;10;2;1;1;12;6;8;8;5;11;3; ;12;11;1; ; ;8;3;12;9; ; ; ; ; 
Buenos Aires;TRENQUE LAUQUEN;Estatal;Rural;52;49;49; ; ; ; ; ;40;30;19;8;30;24;31;22; ;6;1;16;6;9;7;4; ;5;3;5;4; ;2;5;10;1; ;7;4;2;1;8;10;3;5;2;28;7;12;1; ; ; ;1;13;5;41;19; ; ; ; ; 
