provincia;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;Menosde18años;11añosymenos;6añosymás;18añosymás;25añosymás;30añosymás;De20a24años;De25a29años
Buenos Aires;9 DE JULIO;Estatal;Urbano;2°; ; ; ; ; ; ; ;495;18;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;3°; ; ; ; ; ; ; ;4;493;19;10;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;4°; ; ; ; ; ; ; ; ;1;518;42;3;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;5°; ; ; ; ; ; ; ; ; ; ;489;42;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;6°; ; ; ; ; ; ; ; ; ; ;3;458;34;9;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;470;127;68;40;12;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;399;117;91;43;14;3;2; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;9;302;112;57;41;3;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 2; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 3; ; ; ;489; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 4; ; ; ; ;557; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Estatal;Urbano;Sala de 5; ; ; ; ; ;498; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;1°; ; ; ; ; ; ;152;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;132;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;115;12;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;7;1; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;2°; ; ; ; ; ; ; ;164;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;3°; ; ; ; ; ; ; ; ;161;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;4°; ; ; ; ; ; ; ; ; ;163;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;5°; ; ; ; ; ; ; ; ; ; ;163;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;6°; ; ; ; ; ; ; ; ; ; ; ;141;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;155;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;143;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;145;14;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;Sala de 3; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;Sala de 4; ; ; ; ;150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;9 DE JULIO;Privado;Urbano;Sala de 5; ; ; ; ; ;147; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;1°; ; ; ; ; ; ;43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;2°; ; ; ; ; ; ; ;45;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;3°; ; ; ; ; ; ; ; ;43;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;4°; ; ; ; ; ; ; ; ; ;43;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;5°; ; ; ; ; ; ; ; ; ; ;39;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;6°; ; ; ; ; ; ; ; ; ; ; ;43;6;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;7°; ; ; ; ; ; ; ; ; ; ; ; ;3;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;32;4;6;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;9°; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;Sala de 2; ; ;26; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;Sala de 3; ; ; ;27; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;Sala de 4; ; ; ; ;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Rural;Sala de 5; ; ; ; ; ;37; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;1°; ; ; ; ; ; ;118;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;126;40;14;5; ; ; ; ; ; ; ; ; ; ; ; ;1; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;22;15;2; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;12°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;81;21;9; ; ; ; ; ; ; ; ; ;1; ;2; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;13°/14°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;2; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;2°; ; ; ; ; ; ; ;171;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;3°; ; ; ; ; ; ; ; ;134;17;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;4°; ; ; ; ; ; ; ; ; ;135;11;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;5°; ; ; ; ; ; ; ; ; ; ;137;12;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;6°; ; ; ; ; ; ; ; ; ; ; ;131;14;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;7°; ; ; ; ; ; ; ; ; ; ; ; ;175;41;16;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;8°; ; ; ; ; ; ; ; ; ; ; ; ; ;153;45;23;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;9°; ; ; ; ; ; ; ; ; ; ; ; ; ;2;159;36;22;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;Sala de 2; ; ;57; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;Sala de 3; ; ; ;130; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;Sala de 4; ; ; ; ;157; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO ALSINA;Estatal;Urbano;Sala de 5; ; ; ; ; ;158; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;1°; ; ; ; ; ; ;41; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;10°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Buenos Aires;ADOLFO GONZALES CHAVES;Estatal;Rural;11°; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;22;4;2; ; ; ; ; ; ; ; ; ; ; ; ;1; 
